"county","class","practice","cps","implementation","total_ghg_co2"
"Adams","Cropland Management","Combustion System Improvement (CPS 372)","372","Improved Farm Equipment Fuel Efficiency",0.012145749
"Adams","Cropland Management","Conservation Crop Rotation (CPS 328)","328","Decrease Fallow Frequency or Add Perennial Crops to Rotations",0.263967603
"Adams","Cropland Management","Cover Crop (CPS 340)","340","Add Legume Seasonal Cover Crop (with 50% Fertilizer N Reduction) to Irrigated Cropland",0.032392749
"Adams","Cropland Management","Cover Crop (CPS 340)","340","Add Legume Seasonal Cover Crop (with 50% Fertilizer N Reduction) to Non-Irrigated Cropland",-0.012114137
"Adams","Cropland Management","Cover Crop (CPS 340)","340","Add Legume Seasonal Cover Crop (with 50% Fertilizer N Reduction) to No-Till Irrigated Cropland",0.061222257
"Adams","Cropland Management","Cover Crop (CPS 340)","340","Add Legume Seasonal Cover Crop (with 50% Fertilizer N Reduction) to No-Till Non-Irrigated Cropland",0.107442721
"Adams","Cropland Management","Cover Crop (CPS 340)","340","Add Non-Legume Seasonal Cover Crop (with 25% Fertilizer N Reduction) to Irrigated Cropland",-0.021941662
"Adams","Cropland Management","Cover Crop (CPS 340)","340","Add Non-Legume Seasonal Cover Crop (with 25% Fertilizer N Reduction) to Non-Irrigated Cropland",-0.011763911
"Adams","Cropland Management","Cover Crop (CPS 340)","340","Add Non-Legume Seasonal Cover Crop (with 25% Fertilizer N Reduction) to No-Till Irrigated Cropland",0.021192423
"Adams","Cropland Management","Cover Crop (CPS 340)","340","Add Non-Legume Seasonal Cover Crop (with 25% Fertilizer N Reduction) to No-Till Non-Irrigated Cropland",0.078986755
"Adams","Cropland Management","Mulching (CPS 484)","484","Add Mulch to Croplands",0.205668017
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Improved N Fertilizer Management on Irrigated Croplands - Reduce Fertilizer Application Rate by 15%",-0.014195075
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Improved N Fertilizer Management on Non-Irrigated Croplands - Reduce Fertilizer Application Rate by 15%",0.021645571
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Beef Feedlot Manure on Irrigated Croplands",0.303832409
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Beef Feedlot Manure on Non-Irrigated Croplands",0.150479607
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Chicken Broiler Manure on Irrigated Croplands",0.197487726
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Chicken Broiler Manure on Non-Irrigated Croplands",0.095264776
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Chicken Layer Manure on Irrigated Croplands",0.197487726
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Chicken Layer Manure on Non-Irrigated Croplands",0.095264776
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 10) on Irrigated Croplands",0.258430234
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 10) on Non-Irrigated Croplands",0.125210641
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 15) on Irrigated Croplands",0.387452045
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 15) on Non-Irrigated Croplands",0.203576342
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 20) on Irrigated Croplands",0.516892822
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 20) on Non-Irrigated Croplands",0.27012929
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 25) on Irrigated Croplands",0.637068514
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 25) on Non-Irrigated Croplands",0.340649122
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Dairy Manure on Irrigated Croplands",0.303832409
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Dairy Manure on Non-Irrigated Croplands",0.150479607
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Other Manure on Irrigated Croplands",0.303832409
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Other Manure on Non-Irrigated Croplands",0.150479607
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Sheep Manure on Irrigated Croplands",0.303832409
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Sheep Manure on Non-Irrigated Croplands",0.150479607
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Swine Manure on Irrigated Croplands",0.417974348
"Adams","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Swine Manure on Non-Irrigated Croplands",0.310487226
"Adams","Cropland Management","Residue and Tillage Management - No-Till (CPS 329)","329","Intensive Till to No Till or Strip Till on Irrigated Cropland",0.249682304
"Adams","Cropland Management","Residue and Tillage Management - No-Till (CPS 329)","329","Intensive Till to No Till or Strip Till on Non-Irrigated Cropland",0.199065892
"Adams","Cropland Management","Residue and Tillage Management - No-Till (CPS 329)","329","Reduced Till to No Till or Strip Till on Irrigated Cropland",0.150940296
"Adams","Cropland Management","Residue and Tillage Management - No-Till (CPS 329)","329","Reduced Till to No Till or Strip Till on Non-Irrigated Cropland",0.136982163
"Adams","Cropland Management","Residue and Tillage Management - Reduced Till (CPS 345)","345","Intensive Till to Reduced Till on Irrigated Cropland",0.101052794
"Adams","Cropland Management","Residue and Tillage Management - Reduced Till (CPS 345)","345","Intensive Till to Reduced Till on Non-Irrigated Cropland",0.0898097
"Adams","Cropland Management","Stripcropping (CPS 585)","585","Add Perennial Cover Grown in Strips with Irrigated Annual Crops",0.153846156
"Adams","Cropland Management","Stripcropping (CPS 585)","585","Add Perennial Cover Grown in Strips with Non-Irrigated Annual Crops",0.153846156
"Adams","Cropland to Herbaceous Cover","Conservation Cover (CPS 327)","327","Convert Irrigated Cropland to Permanent Unfertilized Grass Cover",0.200949009
"Adams","Cropland to Herbaceous Cover","Conservation Cover (CPS 327)","327","Convert Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.515542654
"Adams","Cropland to Herbaceous Cover","Conservation Cover (CPS 327)","327","Convert Non-Irrigated Cropland to Permanent Unfertilized Grass Cover",0.443267646
"Adams","Cropland to Herbaceous Cover","Conservation Cover (CPS 327)","327","Convert Non-Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.793781982
"Adams","Cropland to Herbaceous Cover","Contour Buffer Strips (CPS 332)","332","Convert Strips of Irrigated Cropland to Permanent Unfertilized Grass Cover",0.200949009
"Adams","Cropland to Herbaceous Cover","Contour Buffer Strips (CPS 332)","332","Convert Strips of Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.515542654
"Adams","Cropland to Herbaceous Cover","Contour Buffer Strips (CPS 332)","332","Convert Strips of Non-Irrigated Cropland to Permanent Unfertilized Grass Cover",0.443267646
"Adams","Cropland to Herbaceous Cover","Contour Buffer Strips (CPS 332)","332","Convert Strips of Non-Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.793781982
"Adams","Cropland to Herbaceous Cover","Field Border (CPS 386)","386","Convert Strips of Irrigated Cropland to Permanent Unfertilized Grass Cover",0.200949009
"Adams","Cropland to Herbaceous Cover","Field Border (CPS 386)","386","Convert Strips of Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.515542654
